	Apis.mel	Dia.sp.	Exo.sol	Ple.cat	Ple.mol	Acm.sp.	Tet.sp	ColGen1	ColGen2	ColGen3	ColGen5	Lon.sp.	Augsp2	Augsp1	Aug.mer	Diasp1	Diasp2	Diasp3	LepGen0	LepGen1	LepGen2	LepGen3	Meg.Pse	Meg.Chry	Pla.nig	Pol.cav	OtrosHym	Diptera	Coleoptera	Pti.tri	Sva.zeb	Xyl.sp.	Xyl.spl	Cal.sp	Ant.Iso	Xyl.ata	Psa.sp	Par.spe	Arh.fla	Hemiptera	Gym.sp	Mel.bel	Allo.arr	ColGen9	ColGen4	ColGen8	ColGen7	ColGen6	Pse.jen	Pse.pam	Lonchopria	Meg.men	Svas.bom	Par.sp	Lith.ruf
ABRA1	1	1	7	143	129	20	444	1	1	5	1	1	0	0	2	8	16	24	0	10	0	6	4	0	31	0	17	7	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
ABRA2	0	0	13	51	6	5	216	2	0	0	0	0	9	1	1	6	6	23	0	0	1	5	5	0	1	0	17	3	0	2	1	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ABRA3	0	1	6	112	43	8	218	0	0	0	1	0	1	1	0	13	3	13	0	0	1	1	2	0	1	0	2	9	0	0	0	0	1	0	2	1	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
GOY4	0	1	14	0	1	0	60	0	0	0	0	0	0	0	1	8	0	0	0	1	1	0	6	0	0	0	6	6	0	4	0	0	0	0	3	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0
GOY5	0	5	6	0	0	1	16	0	0	0	0	0	0	1	0	4	0	7	0	0	0	0	11	1	0	1	6	2	0	2	0	0	0	0	0	0	0	1	3	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
GOY6	2	2	11	0	3	1	50	0	0	0	0	0	0	3	0	12	0	16	0	1	2	0	13	0	0	0	11	3	1	0	0	1	0	0	5	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0
EMB7	1	1	1	15	14	11	322	0	0	0	0	0	1	6	0	4	0	13	0	2	0	0	4	0	3	0	16	2	0	0	0	0	0	0	0	0	2	0	5	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0
EMB8	2	1	2	31	19	4	314	0	0	0	0	0	0	1	2	12	0	12	0	2	1	1	8	0	0	0	13	2	1	1	0	0	1	0	0	0	0	0	7	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0
EMB9	0	0	6	170	10	6	299	0	0	0	0	0	0	1	2	4	0	6	0	7	1	2	4	1	4	0	15	5	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1
CAN10	0	1	6	20	28	0	77	1	0	0	0	0	1	1	0	33	0	16	0	1	1	0	0	0	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	2	0	0
CAN11	0	0	2	2	0	0	28	0	0	0	0	0	0	0	0	6	0	14	1	2	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
CAN12	0	0	4	4	3	2	131	0	0	0	0	0	0	0	0	21	0	34	0	10	0	1	0	0	2	0	1	3	1	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
